"","name","Year_in","Year_out","Type","City","Organization","Unit","is_elite"
"180","Костина",1997,1999,"Работа","Пермь, Пермский край, РФ","Общественная организация ""Новый дом""",NA,"до"
"181","Костина",1999,2002,"Работа","Пермь, Пермский край, РФ","Администрация города","Комитет по культуре и искусству","до"
"182","Костина",2002,2006,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Комитет социальной защиты населения","до"
"183","Костина",2006,2008,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"до"
"184","Костина",2008,2012,"Работа","Пермь, Пермский край, РФ","Агентство по управлению государственными учреждениями Пермского края",NA,"элита"
"185","Костина",2012,2017,"Работа","Пермь, Пермский край, РФ","Министерство физической культуры и спорта",NA,"после"
"186","Кудрявцев",1974,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"187","Кудрявцев",1991,1996,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Экономический факультет","до"
"188","Кудрявцев",1997,2001,"Работа","Пермь, Пермский край, РФ","ЗАО ""Инвестиционная топливная компания""",NA,"до"
"189","Кудрявцев",2001,2005,"Работа","Пермь, Пермский край, РФ","ООО ""ТопКомИнвест""",NA,"до"
"190","Кудрявцев",2005,2006,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Департамент территориального развития","до"
"191","Кудрявцев",2006,2012,"Работа","Пермь, Пермский край, РФ","Министерство градостроительства и развития инфраструктуры",NA,"элита"
"192","Кудрявцев",2012,2012,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"193","Кудрявцев",2012,2012,"Работа","Пермь, Пермский край, РФ","ООО «ЛУКОЙЛ-Энергосети»",NA,"после"
"194","Кудрявцев",2017,2021,"Работа","Пермь, Пермский край, РФ","ООО ""Сван""",NA,"после"
"195","Лаврентьев",1956,NA,"Родился","Ульяновск, Ульяновская область, РФ",NA,NA,"до"
"196","Лаврентьев",1974,1979,"Учеба","Ульяновск, Ульяновская область, РФ","Ульяновский строительный техникум",NA,"до"
"197","Лаврентьев",1979,1990,"Работа","Ульяновск, Ульяновская область, РФ","СМУ г. Ульяновска",NA,"до"
"198","Лаврентьев",1990,1996,"Работа","Пермь, Пермский край, РФ","ОАО «Пермстройпуть»",NA,"до"
"199","Лаврентьев",1996,1997,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Государственная жилищная инспекция","до"
"200","Лаврентьев",1997,1998,"Работа","Пермь, Пермский край, РФ","МУ «Дирекция единого заказчика»",NA,"до"
"201","Лаврентьев",1998,1999,"Работа","Пермь, Пермский край, РФ","МУ «Городская служба муниципального заказчика в жилищной сфере»",NA,"до"
"202","Лаврентьев",1999,2003,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Управление жилищно-коммунального хозяйства","до"
"203","Лаврентьев",2003,2008,"Работа","Пермь, Пермский край, РФ","Государственная жилищная инспекция",NA,"до"
"204","Лаврентьев",2008,2012,"Работа","Пермь, Пермский край, РФ","Государственная инспекция вневедомственного контроля  Пермского края",NA,"элита"
"205","Лаврентьев",2012,2013,"Работа","Пермь, Пермский край, РФ","Государственная инспекция жилищного надзора",NA,"элита"
"206","Лаврентьев",2013,2014,"Работа","Пермь, Пермский край, РФ","ОАО ""ТГК-9""",NA,"после"
"207","Лаврентьев",2014,2016,"Работа","Пермь, Пермский край, РФ","ГУП «Центр технической инвентаризации Пермского края»",NA,"после"
"208","Лаврентьев",2017,2021,"Работа","Пермь, Пермский край, РФ","АО ""Энергосбыт Плюс""",NA,"после"
"209","Лазепный",1969,NA,"Родился","Маньковка, Украина",NA,NA,"до"
"210","Лазепный",1986,1991,"Учеба","Пермь, Пермский край, РФ","Пермский военный институт ракетных войск",NA,"до"
"211","Лазепный",1991,2001,"Работа","Пермь, Пермский край, РФ","Пермский военный институт ракетных войск",NA,"до"
"212","Лазепный",2001,2006,"Работа","Пермь, Пермский край, РФ","Управление по охране окружающей природы",NA,"до"
"213","Лазепный",2006,2012,"Работа","Пермь, Пермский край, РФ","Государственная инспекция по экологии и природопользованию",NA,"элита"
"214","Лазепный",2012,2012,"Работа","Пермь, Пермский край, РФ","Министерство природных ресурсов",NA,"элита"
"215","Лазепный",2012,2021,"Работа","Пермь, Пермский край, РФ","Государственная инспекция по экологии и природопользованию",NA,"элита"
"216","Логачев",1956,NA,"Родился","Демино, Ставропольский край, РФ",NA,NA,"до"
"217","Логачев",1973,1978,"Учеба","Ставрополь, Ставропольский край, РФ","Ставропольский политехнического института","Механический факультет","до"
"218","Логачев",1982,1986,"Работа","Березники, Пермский край, РФ","Березниковский молочный комбинат",NA,"до"
"219","Логачев",1996,2008,"Работа","Пермь, Пермский край, РФ","ОАО «Перммолоко»",NA,"до"
"220","Логачев",2008,2010,"Работа","Пермь, Пермский край, РФ","Министерство сельского хозяйства",NA,"до"
"221","Логачев",2010,2012,"Работа","Пермь, Пермский край, РФ","Министерство сельского хозяйства",NA,"элита"
"222","Лях",1971,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"223","Лях",1989,1994,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Экономический факультет","до"
"224","Лях",1994,1996,"Работа","Пермь, Пермский край, РФ","Тверьуниверсалбанк",NA,"до"
"225","Лях",1997,2001,"Работа","Пермь, Пермский край, РФ","Банк ""Каури""",NA,"до"
"226","Лях",2001,2002,"Работа","Пермь, Пермский край, РФ","ОАО ""Пермэнерго""",NA,"до"
"227","Лях",1995,2004,"Работа","Пермь, Пермский край, РФ","ПБК «Урал-Грейт»",NA,"до"
"228","Лях",2003,2011,"Работа","Пермь, Пермский край, РФ","ООО ""Пермская топливно-энергетическая компания""",NA,"до"
"229","Лях",2007,2012,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Кафедра государственного и муниципального управления","до"
"230","Лях",2011,2016,"Работа","Пермь, Пермский край, РФ","Министерство физической культуры и спорта",NA,"элита"
"231","Лях",2018,2018,"Работа","Пермь, Пермский край, РФ","ФК ""Амкар""",NA,"после"
"232","Лях",2018,2021,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Кафедра государственного и муниципального управления","после"
"233","Мильграм",1954,NA,"Родился","Одесса, Украина",NA,NA,"до"
"234","Мильграм",1971,1976,"Учеба","Пермь, Пермский край, РФ","Пермский национальный исследовательский политехнический университет","Химико-технологический факультет","до"
"235","Мильграм",1987,1987,"Работа","Пермь, Пермский край, РФ","Молодежный театр",NA,"до"
"236","Мильграм",1984,1989,"Учеба","Москва, РФ","ГИТИС",NA,"до"
"237","Мильграм",1992,1997,"Работа","Москва, РФ","Театр им. Моссовета",NA,"до"
"238","Мильграм",1994,1995,"Работа","Москва, РФ","ГИТИС",NA,"до"
"239","Мильграм",1997,1998,"Работа","Москва, РФ","ВГИК",NA,"до"
"240","Мильграм",2004,2008,"Работа","Пермь, Пермский край, РФ","Пермский академический Театр-Театр",NA,"до"
"241","Мильграм",2008,2011,"Работа","Пермь, Пермский край, РФ","Министерство культуры и массовых коммуникаций",NA,"элита"
"242","Мильграм",2010,2012,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"243","Мильграм",2012,2021,"Работа","Пермь, Пермский край, РФ","Пермский академический Театр-Театр",NA,"после"
"244","Миронов",1999,2004,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Экономический факультет","до"
"245","Миронов",2009,2010,"Работа","Пермь, Пермский край, РФ","АО ""Прогноз""",NA,"до"
"246","Миронов",2010,2012,"Работа","Пермь, Пермский край, РФ","Агентство информационного развития Пермского края",NA,"элита"
"247","Миронов",2012,2016,"Работа","Пермь, Пермский край, РФ","АО ""Прогноз""",NA,"после"
"248","Миронов",2016,2021,"Работа","Пермь, Пермский край, РФ","ООО ""Форсайт""",NA,"после"
"249","Миронов",2016,2021,"Работа","Пермь, Пермский край, РФ","ООО ""Смарт Аналитикс""",NA,"после"
"250","Новичков",1992,1997,"Учеба","Нижний Новгород, Нижегородская область, РФ","Волго-Вятская академия государственной службы",NA,"до"
"251","Новичков",1996,1998,"Работа","Москва, РФ","Социалистическая народная партия России",NA,"до"
"252","Новичков",1998,2006,"Работа","Москва, РФ","Движение ""Родное Отечество""",NA,"до"
"253","Новичков",2001,2003,"Работа","Москва, РФ","Социал-демократическая партия России",NA,"до"
