ВисковатоваЕИ;;;;;;;;
ВисниовскаяЕИ;;;;;;;;
ВистингаузенАА;;;;;;;;
ВитвицкийИГ;;;;;;;;
ВладимировИА;;;;;;;;
ВладимирскийБ;;;;;;;;
Владимирский-Киевский;;;1;;;;;
ВласовСА;;;;;;;;
ВознесенскаяАВ;1;;;;;;;
ВоиновРВ;;;;;;;;
ВолковВВ;;;;;;;;
ВолковГ;;;;;;;;
ВолковЕЕ;;;;;;;;
ВолочинковАМ;;;;;;;;
ВонгльСЭ;;2;;;;;;
ВороненковВЕ;;;;;;;;
ВоронковВЕ;;;;;;;;
ВороновПФ;;;;;;;;
ВоронцовВВ;;;;;;;;
ВоротынскийДА;;;;;;;;
ВостингаузенА;;;;;;;;
ВрангельЕК;;;;;;;;
ВрачевИА;;;;1;;;;
ВроблевскийКК;;;;;;;;
ВронскийСЕ;;;;;;;;
ВрубельМА;;;;;;;;
ВульфВВ;;;;;;;;
ВучичевичВД;;;;;;;;
ВывиорскийМИ;;;;;;;;
ВыезжевАН;;;;;;;;
ВысотскийКС;;;;;;;;
ГаберцеттельВ;;;;;;3;;
ГабовичМГ;;;;;;;;
ГаврильцевДМ;1;;;5;6;5;;10
ГагаринНВ;;;;;;;;
Гаген-ТорнМЭ;;1;;;;;;
Гаген-ШварцЮ;;;;;;;;
ГадонСС;;;;;;;;
ГаевскийВМ;;;;;;;;
Галеота;;;;;;;;
ГалимскийВМ;;;;;;;;
ГалкинИС;;;;;;;;
ГалленА;;;;;;;;
Галофрэ;;;;;;;;
ГамбургерЛА;;;;;;;;
ГаммК;;;;;;;;
ГанзенАВ;;;;;;;;6
ГариевичБВ;;;;;;;;
ГартманК;;;;;;;;
ГаушАФ;;;;;;;;
ГаушЛ;;;;;;;;
ГвидоН;;2;6;;;;;
Гейерманс;;;;;;;;
ГейманС;;;;;;;;
ГеллерПИ;7;11;15;14;21;18;22;19
Гельдвейн-Ваулин;;;;;;;;
ГеНН;;;;;;;;
ГерардовНИ;;;;;;;;
ГерасимовАМ;;;;;;;;
ГерманГ;;;;;;;;
ГермашевММ;;;;;;;;
ГерсонВВ;;;;;;;;
ГершевскийСИ;;;;;;;;
ГефтлерКЭ;;;;;;;;6
ГигогабаевГИ;;;;;;;;
ГинцбургИЯ;;;;;;;;
ГинцбургМГ;;;;;;;;
ГиньковскийПВ;;;;;;;;
ГиппусНН;;;;;;;;
ГирвАП;5;4;6;;6;8;7;1
ГиршльА;;;;;;;;
ГлаголеваАС;;;;;;;;
ГлобаНВ;;;;;;;;
ГлущенкоДИ;;;;;;;;
ГляйзесА;;;;;;;;
ГодунЕ;;;;;;;;
ГолеевскаяПК;;;;1;;2;;
ГолембиовскийКИ;;;;;;;;
ГолицынаЕВ;;;;;;;;
ГоловинАЯ;;;;;;;;
ГоловкинГС;;;;;;;;
ГоловковГС;;;;;;;;
ГолубкинаАС;;;;;;;;
ГолынскийВА;;;;;;;;
ГольдблатЯС;;;;;;;;
ГольддингерЕВ;;;;;;;;
ГольдеЭН;;;;;;;;
ГольдингерЕВ;;;;;;;;
ГольдманИБ;;2;;;;;13;
Гом-БаргЮЯ;;;;;;;;
ГончароваНС;;;;;;;;
ГонякИК;;;;;;;;5
ГоравскийАГ;;;;;;;;
ГорбатовКИ;;;;;;;;
ГорбуновАК;;;;;;;;
ГорбуновКА;;;;;;;;
ГороновичВЯ;;;;;;;;
ГороховИЛ;4;8;11;8;9;13;;
ГорскийКН;;;;;;;;
Горюшкин-СкоропудовИС;13;;2;;;;;
ГосЭИ;;;;;;;;
ГофманнК;;;;;;;;
ГофманОА;;;;;;;;
ГоффертАЕ;;;;;;;;
ГрабарьИЭ;;;;;;;;
ГрабовскийВ;;;;;1;;;
ГравеВФ;;;;4;3;;;3
ГрандковскийНК;2;;;;;;;
ГригорьевВМ;;;;;;;;
ГригорьевПА;;;;;;;;
ГриллихесАА;;;2;;1;;;
ГриневАП;;;;;;;;
ГриценкоНН;;;;;;;;
ГрищенкоАВ;;;;;;;;
ГромовАА;;;;;;;;
ГросманАГ;;;;;;;;
ГрузенбергСН;;;;;;;;
ГрузинскийПН;;;;;;;;
ГрюнфельдМИ;;;;;;;;
ГугунаеваИГ;;;;;;;;
ГужавинММ;;;;;;;;
ГузарскийВ;;;;;;;;
ГузиковСМ;;;;;;;;
ГулевичЕА;;;;;;;;
ГумаликНИ;;;;;;;;
