БлиновЛД;;
БломстедтВ;;
БлощинскаяОП;;
БлуменфельдАФ;;
БлюмВИ;;
БлюментальЮЮ;;
БлюменфельдГМ;;
Бобрищева-Пушкина;;
БобровАА;;
БобровАВ;;
БобровВА;;
БобровВН;;
БобровскийГМ;;
БобровСП;;
БогаевскийКФ;;
БогатовНА;;
БогатыревВС;;
БогатыревИС;;
Богданов-БельскийНП;;
БогдановичФО;;
БогдановНП;;
БогданПГ;;
БоголюбовАП;;
БоголюбовБМ;;
БогомазовТН;;
БодаревскийНК;;
БодемюллерФ;;
Бодуэн-де-Куртенэ;;
Боженко;;
БожеряновА;;
БолдыревИЕ;;
БолотновВД;;
БольдиниД;;
Бонч-ОсмоловскаяОГ;18;
Бонч-ТомашевскийЮО;;
БоревскийН;;
БоринВМ;;
БорисовАА;;
БорисовИФ;;8
Борисов-МусатовВЭ;;
БормоткинВМ;2;
БородаевскийСО;;
БортникерДМ;;
БоруздинаВМ;8;
БоскинМВ;;
БоссиЭ;;
БоткинаМС;;
БоткинМП;;
БоткинНИ;;
БочаровМИ;;
БрагаГ;;
БрагаЭ;;
БразельЮН;;
БразОЭ;;
БраиловскаяРН;;
БраиловскийЛМ;;
БракГ;;
БрандтИ;;
БраунЭГ;;
Бредт;;
Брендель;;
БржозовскийФФ;;
БроварьЯИ;;
БродскийИИ;;
БромбергФГ;;
БронниковНК;;
БронниковФА;;
БроновицкийГФ;2;
БруниНА;;
БруниФА;;
БрускетиАЯ;;
БрухардтФК;;
БрэнгвинЖ;;
БрюлловПА;;
БрянскийМВ;;
БубликовНЕ;;
Будкевич;;
Будковская-КибальчичНТ;;
БудковскийГЯ;;
БузалевскийБМ;;
БуйндМА;;
БуйницкийРИ;;
БуковецкийЕИ;;
БукФП;;
БулацельРС;;
Бульмеринг-КороленкоЕП;;
БунинНН;;
БургардтЛО;;
Бургарт;;
БуринскаяНФ;;
БурлюкВД;;
БурлюкДД;;
БуровФЕ;;
БурхардтФК;;
БутлярСА;;
Бутэ-де-Монвель;;
БухгольцФФ;;
БухерАИ;;
БухПН;;
БыкадоровНЯ;;
БыковскийНМ;;
БылевскийФС;;
БыляшкинВВ;;30
БыстренинВИ;;
БычковВП;;
