name;1871;1872;1874;1876;1878;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1895;1896;1897;1898;1899;1900;1904;1906;1907;1908;1909;1911;1917
АлексеевВМ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
АлексеевГД;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
АлексеевНВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлексоматиНХ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлферьеваСВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АльбрехтЛГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альквист;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альстедт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АльтаманН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АльтенбергИГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АльхимовичК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аман-Жан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АммонВ;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АммосовСН;1;1;5;2;1;;2;3;;5;;10;;;;;;;;;;;;;;;;;;;
АмосоваОФ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АндерсонЕК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АндреевВИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнзимироваНВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнисимовВК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнисимовЮП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнисфельдБИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АничковАИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Анкетэн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнтокольскийММ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнтоновАИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Антропова;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АнтроповИГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АпостолиВА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АракелянС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АраповАА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АронсонНН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АрхиповАЕ;;;;;;;;;;;;;;2;;;;2;1;2;1;2;1;1;;;;;;;
АрхиповСН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АрчиониГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АскназийИЛ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АстафьеваВЛ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АтрыганьевН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АтрыганьевНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АуэрГД;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АфанасьевАФ;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;2;4;2
АфанасьевВЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Афанасьев-Кокель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АхенбахГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АхочинскаяЗП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
БабутММ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Багратион-МухранскаяВН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
БадовскийАФ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
БаженовНВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
