Artist;Gender;Museums
ВульфВВ;0;0
ВучичевичВД;0;0
ВывиорскийМИ;0;0
ВыезжевАН;0;0
ВысотскийКС;0;0
ГаберцеттельВ;0;0
ГабовичМГ;0;0
ГаврильцевДМ;0;0
ГагаринНВ;0;0
Гаген-ТорнМЭ;0;0
Гаген-ШварцЮ;0;0
ГадонСС;0;0
ГаевскийВМ;0;0
Галеота;0;0
ГалимскийВМ;0;0
ГалкинИС;0;0
ГалленА;0;0
Галофрэ;0;0
ГамбургерЛА;0;0
ГаммК;0;0
ГанзенАВ;0;0
ГариевичБВ;0;0
ГартманК;0;0
ГаушАФ;0;1
ГаушЛ;0;0
ГвидоН;0;0
Гейерманс;0;0
ГейманС;0;0
ГеллерПИ;0;0
Гельдвейн-Ваулин;0;0
ГеНН;0;28
ГерардовНИ;0;0
ГерасимовАМ;0;3
ГерманГ;0;0
ГермашевММ;0;0
ГерсонВВ;0;0
ГершевскийСИ;0;0
ГефтлерКЭ;0;0
ГигогабаевГИ;0;0
ГинцбургИЯ;0;0
ГинцбургМГ;0;0
ГиньковскийПВ;0;0
ГиппусНН;0;0
ГирвАП;0;0
ГиршльА;0;0
ГлаголеваАС;1;0
ГлобаНВ;0;0
ГлущенкоДИ;0;0
ГляйзесА;0;0
ГодунЕ;0;0
ГолеевскаяПК;1;0
ГолембиовскийКИ;0;0
ГолицынаЕВ;1;0
ГоловинАЯ;0;14
ГоловкинГС;0;0
ГоловковГС;0;0
ГолубкинаАС;1;0
ГолынскийВА;0;0
ГольдблатЯС;0;0
ГольддингерЕВ;0;0
ГольдеЭН;0;0
ГольдингерЕВ;0;0
ГольдманИБ;0;0
Гом-БаргЮЯ;0;0
ГончароваНС;1;8
ГонякИК;0;0
ГоравскийАГ;0;0
ГорбатовКИ;0;0
ГорбуновАК;0;0
ГорбуновКА;0;0
ГороновичВЯ;0;0
ГороховИЛ;0;0
ГорскийКН;0;0
Горюшкин-СкоропудовИС;0;0
ГосЭИ;0;0
ГофманнК;0;0
ГофманОА;0;0
ГоффертАЕ;0;0
ГрабарьИЭ;0;4
ГрабовскийВ;0;0
ГравеВФ;0;0
ГрандковскийНК;0;0
ГригорьевВМ;0;0
ГригорьевПА;0;0
ГриллихесАА;0;0
ГриневАП;0;0
ГриценкоНН;0;0
ГрищенкоАВ;0;0
ГромовАА;0;0
ГросманАГ;0;0
ГрузенбергСН;0;0
ГрузинскийПН;0;0
ГрюнфельдМИ;0;0
ГугунаеваИГ;0;0
ГужавинММ;0;0
ГузарскийВ;0;0
ГузиковСМ;0;0
ГулевичЕА;0;0
ГумаликНИ;0;0
ГунКФ;0;1
ГусеваАА;1;0
ГусеваГ;1;0
ГусиковХК;0;0
Гюбнер-СимонисЭВ;0;0
ГюбнерЭВ;0;0
ГюрджанАМ;0;0
ДабижаАВ;0;0
ДаксергофФП;0;0
ДальГ;0;0
Д'АльгеймММ;0;0
Даньян-Бувере;0;0
ДаугельА;0;0
Дашенко;0;0
ДворниковТЯ;0;0
Де-Вит-МанизерСС;0;0
ДевяткинСЕ;0;0
ДевятовЯМ;0;0
ДегазШ;0;0
ДеевСС;0;0
Делла-ВосОЛ;1;0
ДенисовАК;0;0
Денисов-УральскийАК;0;0
ДеранА;0;0
ДержавинНМ;0;0
ДерюжинскийГВ;0;0
ДетерсЭВ;0;0
ДешинД;0;0
ДженеевИА;0;0
ДжилардиП;0;0
ДжогинПП;0;1
ДжонстонГ;0;0
ДиллонМЛ;0;0
ДилльЛ;0;0
ДитрихЛА;0;0
ДмитриевВА;0;0
ДмитриевИЯ;0;0
Дмитриев-КавказскийЛЕ;0;0
Дмитриев-КавказскийН;0;0
ДмитриевЛЕ;0;0
Дмитриев-ОренбургскийНД;0;0
ДмитриевС;0;0
Дмитриев-ЧелябинскийИЯ;0;0
ДобрижинскийВА;0;0
ДобровольскийВГ;0;0
ДобровольскийНФ;0;0
ДобужинскийМВ;0;0
ДолговАА;0;0
ДолговИВ;0;0
ДолинВК;0;0
ДомарадзкийСЭ;0;0
ДоскинНВ;0;0
ДржевецкаяЛ;1;0
ДриттенпрейсВП;0;0
ДроздовИГ;0;0
ДрюльВ;0;0
ДубовскийНН;0;0
ДубровскийАС;0;0
ДудинИО;0;0
ДуковичСА;0;0
ДукшинскаяЭГ;1;0
ДурдинБН;0;0
ДурновМА;0;0
ДыдышкоКВ;0;0
Дьякова-АлексееваМН;1;0
ДьяковаМН;0;0
Дьяконов-МичанскийДВ;0;0
ДюккерЕЭ;0;0
ЕвреиновВВ;0;0
ЕвсеевКИ;0;0
ЕгорновАС;0;0
ЕгорновСС;0;1
ЕгоровАА;0;0
ЕгоровЕВ;0;0
ЕгоровЛЕ;0;0
ЕгоровСЗ;0;0
ЕдельфельдА;0;0
ЕндогуровНИ;0;0
ЕрмиловИ;0;0
ЕрмолаевБН;0;0
ЕрнефельтЕ;0;0
ЕсиповДА;0;0
ЕфимовИЕ;0;0
ЕфимовМЯ;0;0
ЕфимовНН;0;0
ЖабаАК;0;0
ЖабаНК;1;0
ЖаравоваАА;1;0
Жевакина-НикольскаяМС;1;0
Жеврежеев;0;0
ЖелтовскийИВ;0;0
ЖижиленкоАИ;0;0
ЖижиленкоГА;0;0
ЖилардиРС;0;0
ЖилинПФ;0;0
ЖильцовИО;0;0
ЖолтовскийИВ;0;0
ЖувенауИ;0;0
ЖудинаОД;1;0
ЖудинДА;0;0
ЖуковаЛА;0;0
ЖуковИС;0;0
ЖуковскаяМБ;1;0
ЖуковскийСЮ;0;5
ЖупахинСГ;0;0
ЖуравлевФС;0;0
ЗабеллоПП;0;0
ЗабоклицкийВЛ;0;0
ЗаболотскийПП;0;0
ЗаборовскийСА;0;0
ЗавойкоСВ;0;0
ЗагорскийНП;0;0
ЗайднерЕ;0;0
Зайднер-СаддЕ;0;0
ЗайцевК;0;0
ЗайцевММ;0;0
ЗайцевНС;0;0
ЗалеманГР;0;0
ЗалесскийСИ;0;0
ЗальВК;0;0
ЗальцманГ;0;0
ЗамирайлоВД;0;0
Зандер-РандаловаЭЯ;0;0
ЗандинМП;0;0
ЗанковскийИН;0;0
Запольский-ДовнарРВ;0;0
ЗапорожцевВ;0;0
ЗарецкийАА;0;0
ЗарецкийНВ;0;0
ЗарубинВИ;0;0
ЗарыцкийНВ;0;0
ЗарянкоСК;0;0
ЗахаровА;0;0
ЗахаровИИ;0;0
ЗахаровФИ;0;0
ЗахгеймМО;0;0
ЗверевВА;0;0
ЗданевичКМ;0;0
ЗедделерНН;0;0
ЗейденбергСМ;0;0
ЗеленскийММ;0;0
ЗельмановаАМ;0;0
ЗенковСН;0;0
ЗенченкоВМ;0;0
ЗеньковичНВ;0;0
ЗиминГД;0;0
