АуэрГД;;;;;;;
АфанасьевАФ;;;;;;;
АфанасьевВЯ;;;;;;;
Афанасьев-Кокель;;;;;;;
АхенбахГ;;;;;;;
АхочинскаяЗП;;;;;;;
БабутММ;;;;;;;
Багратион-МухранскаяВН;;;;;;;
БадовскийАФ;;;;;;;
БаженовНВ;;;;;;;
БажинНН;;;;;;;
БакаловичСВ;;;;;;;
БаклундЭО;8;;;;;;
БакмансонГК;;;;;;;
БакстЛС;14;10;3;;;;
БакшеевВН;;;;;;;
БалашевПИ;;;;;;;
БалкСМ;;;;;;;
БаллодПП;;;;;;;
БалльерАИ;;;;;;;
БалунинМА;;;;;;;
Бальц;;;;;;;
БарамзинЕВ;;;;;;;
БарстельсГ;;;;;;;
БартВС;;;;;;;
БаруздинаВМ;;;;;;;
БарынинАА;;;;;;;
БасинПВ;;;;;;;
Бастер;;;;;;;
БатуринВП;;;;;;;
БауманАГ;;;;;;;
БауманАЕ;;;;;;;
БауманАН;;;;;;;
БахНИ;;;;;;;
БахРР;;;;;;;
БахтеевВ;;;;;;;
БахтинКН;;;;;;;
БашинджагианГЗ;;;;;;;
Беггрова-ГартманОФ;;;;;;;
БеггровАК;;;;;;;
БегерЛМ;;;;;;;
БегичевАР;;;;;;;
БедросовКП;;;;;;;
БезверховНП;;;;;;;
БезродныйМЕ;;;;;;;
БезродныйМС;;;;;;;
БезродныйПВ;;;;;;;
БейгульАН;;;;;;;
БеккерА;;;;;;;
БеклемишевВА;;;;;;;
БёклинА;;;;;;;
БекряшевНГ;;;;;;;
БелкинВ;;;;;;;
Белоусов;;;;;;;
БелыйАФ;;;;;;;
БельзенЯЯ;;;;;;;
БелявскийМК;;;;;;;
БеляевА;;;;;;;
БеляковЕЕ;;;;;;;
БемЕМ;;;;;;;
БенарА;;;;;;;
БенигКБ;;;;;;;
БенкендорфДА;;;;;;;
БенуаАА;;;;;;;
БенуаАлекс Н;;;;;;;
БенуаАльб Н;33;8;36;;;;
БергВВ;;;;;;;
БерггольцРА;;;;;;;
БеридтсонГФ;;;;;;;
БерингерВВ;;;;;;;
БеркосМА;;;;;;;
БерндтсонГФ;;;;;;;
БернштамЛА;;;;;;;
БероянАК;;;;;;;
БерсонА;;;;;;;
БершадскийЮР;;;;;;;
Биленкий;;;;;;;
БилибинИИ;16;5;3;;;;
БильдерлингАА;;;;;;;
БиркингерФ;;;;;;;
БирнбаумСР;;;;;;;
БлаговещенскийНД;;;;;;;
БландоваМН;;;;;;;
БланшЖ;;;;;;;
БлахеХр;;;;;;;
БлентА;;;;;;;
БлиновЛД;;;;;;;
БломстедтВ;;;;;;;
БлощинскаяОП;;;;;;;
БлуменфельдАФ;;;;;;;
БлюмВИ;;;;;;;
БлюментальЮЮ;;;;;;;
БлюменфельдГМ;;;;;;;
Бобрищева-Пушкина;;;;;;;
БобровАА;;;;;;;
БобровАВ;;;;;;;
БобровВА;;;;;;;
БобровВН;;;;;;;
БобровскийГМ;;;;8;13;;11
БобровСП;;;;;;;
БогаевскийКФ;;8;;;;;
БогатовНА;;;;;;;
БогатыревВС;;;;;;;
БогатыревИС;;;;;;;
Богданов-БельскийНП;;;;;;;
БогдановичФО;;;;;;;
БогдановНП;;;;;;;
БогданПГ;;;;;;;
БоголюбовАП;;;;;;;
БоголюбовБМ;;;;;;;
БогомазовТН;;;;;;;
БодаревскийНК;;;;;;;
БодемюллерФ;;;;;;;
Бодуэн-де-Куртенэ;;;;;;;
Боженко;;;;;;;
БожеряновА;;;;;;;
БолдыревИЕ;;;;;;;
БолотновВД;;;;;;;
БольдиниД;;;;;;;
Бонч-ОсмоловскаяОГ;;;;;;;
Бонч-ТомашевскийЮО;;;;;;;
