ВыезжевАН;;;;
ВысотскийКС;;;;
ГаберцеттельВ;;;;
ГабовичМГ;;;;
ГаврильцевДМ;;;;
ГагаринНВ;;;;
Гаген-ТорнМЭ;;;;
Гаген-ШварцЮ;;;;
ГадонСС;;;;
ГаевскийВМ;1;;;
Галеота;;;;
ГалимскийВМ;;;;
ГалкинИС;;;2;
ГалленА;;;;
Галофрэ;;;;
ГамбургерЛА;;;;
ГаммК;;;;
ГанзенАВ;;;;
ГариевичБВ;;;;
ГартманК;;;;
ГаушАФ;;;;
ГаушЛ;;;;
ГвидоН;;;;
Гейерманс;;;;
ГейманС;;;;
ГеллерПИ;;;;
Гельдвейн-Ваулин;;;;
ГеНН;;;;
ГерардовНИ;;;;
ГерасимовАМ;10;1;;
ГерманГ;;;;
ГермашевММ;;;;
ГерсонВВ;;;;
ГершевскийСИ;;;;
ГефтлерКЭ;;;;
ГигогабаевГИ;;;;
ГинцбургИЯ;;;;
ГинцбургМГ;;;;
ГиньковскийПВ;;;;
ГиппусНН;;;;
ГирвАП;;;;
ГиршльА;;;;
ГлаголеваАС;;;;
ГлобаНВ;;;;
ГлущенкоДИ;;;;
ГляйзесА;;;;
ГодунЕ;;;;
ГолеевскаяПК;;;;
ГолембиовскийКИ;;;;
ГолицынаЕВ;;;;
ГоловинАЯ;;;;
ГоловкинГС;;;;
ГоловковГС;;;;
ГолубкинаАС;;;;
ГолынскийВА;;;;
ГольдблатЯС;;;;
ГольддингерЕВ;;;;
ГольдеЭН;;;;
ГольдингерЕВ;;;;
ГольдманИБ;;;;
Гом-БаргЮЯ;;;;
ГончароваНС;;;;
ГонякИК;;;;
ГоравскийАГ;;;;
ГорбатовКИ;;;;
ГорбуновАК;;;;
ГорбуновКА;;;;
ГороновичВЯ;;;;
ГороховИЛ;;;;
ГорскийКН;;;;
Горюшкин-СкоропудовИС;;;;
ГосЭИ;;;;
ГофманнК;;;;
ГофманОА;;;;
ГоффертАЕ;;;;
ГрабарьИЭ;;;;
ГрабовскийВ;;;;
ГравеВФ;;;;
ГрандковскийНК;;;;
ГригорьевВМ;;;;
ГригорьевПА;;;;
ГриллихесАА;;;;
ГриневАП;;;;
ГриценкоНН;;;;
ГрищенкоАВ;;;;
ГромовАА;;;;
ГросманАГ;;;;
ГрузенбергСН;;;;
ГрузинскийПН;;;;
ГрюнфельдМИ;;;;
ГугунаеваИГ;;;;
ГужавинММ;;;;
ГузарскийВ;;;;
ГузиковСМ;11;;;
ГулевичЕА;3;2;2;2
ГумаликНИ;;;;
ГунКФ;;;;
ГусеваАА;;;;
ГусеваГ;;;;
ГусиковХК;;;;
Гюбнер-СимонисЭВ;;;;
ГюбнерЭВ;;;;
ГюрджанАМ;;;3;
ДабижаАВ;;;;
ДаксергофФП;1;;;
ДальГ;;;;
Д'АльгеймММ;;;;
Даньян-Бувере;;;;
ДаугельА;;;;
Дашенко;;;;
ДворниковТЯ;;;;
Де-Вит-МанизерСС;;;;
ДевяткинСЕ;;;;
ДевятовЯМ;;;;
ДегазШ;;;;
ДеевСС;;;;
Делла-ВосОЛ;;;;
ДенисовАК;;;;
Денисов-УральскийАК;;;;
ДеранА;;;;
ДержавинНМ;;;;
ДерюжинскийГВ;;;;
